
200,11.59,673.92,1.34452,1.41021,118.87,
210,11.43,664.35,1.25705,1.3068,120.28,
220,11.26,654.67,1.17502,1.20796,121.98,
230,11.09,644.88,1.09782,1.11337,123.94,
240,10.92,634.94,1.02495,1.02277,126.13,
250,10.75,624.83,0.95595,0.93593,128.54,
260,10.57,614.51,0.89042,0.85268,131.15,
270,10.39,603.93,0.82801,0.77288,133.95,
273,10.34,601.09,0.81202,0.75238,134.73,
273,0.047,2.709,0.0004,0.0359,94.82,
280,0.045,2.629,0.00039,0.03714,96.22,
290,0.044,2.529,0.00037,0.03879,98.31,
300,0.042,2.436,0.00036,0.0404,100.54,
310,0.04,2.351,0.00034,0.04199,102.86,
320,0.039,2.272,0.00033,0.04356,105.25,
330,0.038,2.199,0.00032,0.04511,107.68,
340,0.037,2.13,0.00031,0.04666,110.13,
350,0.036,2.066,0.0003,0.04819,112.61,
360,0.035,2.005,0.00029,0.04971,115.1,
370,0.034,1.949,0.00028,0.05122,117.59,
380,0.033,1.895,0.00027,0.05273,120.09,
390,0.032,1.845,0.00027,0.05423,122.57,
400,0.031,1.797,0.00026,0.05573,125.04
